;net.c;class;lspri_synth;lspri_serum;lspri_relative;lspri_diff;lspri_rel_ch;zav_synth;zav_serum;pdi_synth;pdi_serum;vol_synth;vol_serum;num_synth;num_serum;int_synth;int_serum;hdlayer_synth;hdlayer_serum;hdrel_synth;hdrel_serum;zav_ch;pdi_ch;vol_ch;num_ch;int_ch;zav_rel;pdi_rel;vol_rel;num_rel;int_rel;zp_synth;zp_serum;zp_ch;zp_rel;zp_synth_sign;zp_serum_sign;zp_synth_mag;zp_serum_mag;bca_density;AS.total;P01024;P0C0L4;P02649;P10909;Q14624;P01009;P04114;P00734;P0C0L5;P01008;P04196;P01023;P01042;P02656;P00739;P05154;P02743;P06396;P19823;P12259;P10720;P05546;P49908;P35542;P68871;Q03591;O43866;P02749;P03951;P02654;P03952;P02760;P00738;P01011;P18428;P02655;Q13103;P00736;P00748;P00742;P02774;Q14520;P00751;P00740;P03950;P02790;P09871;P27169;P02788;P20851;P18065;P00450;P08567;P01019;P02671;P15169;Q13790;P08709;P00451;Q06033;P14618;P23528;Q99467
G15.DDT@DOTAP;-1.127557324;0;0.27649778;0.297222531;1.074954492;0.020724751;0.074954492;28.17;47.34;0.193;0.237;28.17;62.91;31.58;34.51;31.58;83.76;13.27;32.44;1.890604027;3.177181208;19.17;0.044;34.74;2.93;52.18;1.680511182;1.227979275;2.233226837;1.092780241;2.65231159;13.92;-6.37;-20.29;-0.457614943;1;-1;13.92;6.37;2.107;9.785198331;0.043281654;0.033591731;0.004521964;0.010981912;0.003229974;0.052325581;0.054909561;0.01744186;0.010335917;0.00129199;0.002583979;0.029715762;0;0.001937984;0.005813953;0.007751938;0.000645995;0.002583979;0.103359173;0.005813953;0;0;0;0;0.000645995;0;0.003875969;0;0;0;0;0.022609819;0.003875969;0.001937984;0;0;0.002583979;0;0;0.003875969;0;0.111111111;0;0;0;0;0;0;0;0;0;0.000645995;0;0;0;0;0.010335917;0;0;0.009689922;0;0;0
G15.DDT@ODA;-6.121800441;0;0.309989179;0.367331174;1.184980632;0.057341994;0.184980632;33.6;58.95;0.268;0.346;16.66;33.85;28.99;26.12;28.99;87.33;18.7;44.05;2.255033557;3.956375839;25.35;0.078;17.19;-2.87;58.34;1.754464286;1.291044776;2.031812725;0.901000345;3.012418075;25.83;-5.46;-31.29;-0.211382114;1;-1;25.83;5.46;0.412;10.7138128;0.044052863;0.008810573;0.008810573;0.070484581;0;0.017621145;0.264317181;0.008810573;0;0.114537445;0;0;0;0.008810573;0;0;0;0;0;0;0;0;0;0.022026432;0.004405286;0;0;0;0;0;0;0;0;0;0;0.013215859;0;0;0;0;0;0;0;0;0;0;0;0.052863436;0;0;0;0;0;0;0;0;0.039647577;0;0;0;0;0;0
G15.DDT@SA;-6.803896602;1;0.395907163;0.320778997;0.810237923;-0.075128165;-0.189762077;82.41;59.93;0.249;0.367;27.08;33.04;55.31;27.7;55.31;86.81;67.51;45.03;5.530872483;4.022147651;-22.48;0.118;5.96;-27.61;31.5;0.727217571;1.473895582;1.220088626;0.500813596;1.569517266;-29.37;-6.1;23.27;0.207694927;-1;-1;29.37;6.1;0.526;10.35315149;0.125886525;0.01891253;0.046099291;0.088652482;0.004137116;0.010047281;0.242907801;0.014184397;0.000591017;0.023640662;0.001182033;0.000591017;0.005910165;0.012411348;0.002955083;0;0;0.007092199;0;0;0;0;0;0.021276596;0.004728132;0;0;0;0;0;0;0;0;0;0.004137116;0.004137116;0;0;0;0;0.001182033;0;0;0;0;0;0.001182033;0.016548463;0;0;0;0;0;0.000591017;0;0;0.013593381;0;0;0;0;0;0
G15.DDT@SDS;-7.675949819;1;0.465010844;0.359906092;0.773973547;-0.105104752;-0.226026453;27.94;100.13;0.302;0.37;16.05;124.61;35.19;29.7;35.19;142.63;13.04;85.23;1.875167785;6.720134228;72.19;0.068;108.56;-5.49;107.44;3.583750895;1.225165563;7.763862928;0.84398977;4.053140097;-21.68;-5.71;15.97;0.263376384;-1;-1;21.68;5.71;0.463;8.656337237;0.107542942;0.044062733;0.023898432;0.035847647;0.046303211;0.017923824;0.15459298;0.013442868;0.000746826;0.034353996;0.014189694;0.004480956;0.032860344;0.005974608;0.00746826;0.006721434;0;0.023151606;0.010455564;0;0;0;0;0.011949216;0.005974608;0.000746826;0;0.008961912;0;0;0.00373413;0;0.005227782;0.000746826;0.009708738;0.004480956;0;0.001493652;0;0;0.01120239;0;0.005974608;0;0;0.005974608;0;0.008215086;0;0;0;0;0;0.002240478;0.00746826;0;0.005974608;0;0;0;0;0;0
G15.DTNB;-6.083141235;1;0.241280528;0.413863805;1.715280587;0.172583277;0.715280587;23.58;60.27;0.108;0.248;22.67;45.24;25.16;32.93;25.16;81.13;8.68;45.37;1.582550336;4.044966443;36.69;0.14;22.57;7.77;55.97;2.555979644;2.296296296;1.995588884;1.308823529;3.224562798;-24.32;-10.42;13.9;0.428453947;-1;-1;24.32;10.42;5.883;11.26778554;0.036287924;0.007733492;0.033313504;0.00297442;0.019631172;0.014277216;0.001189768;0.076145152;0.001784652;0.161213563;0.148720999;0.01784652;0.157644259;0;0;0.00892326;0.001784652;0.001784652;0.000594884;0.002379536;0.004164188;0.009518144;0.004164188;0.001784652;0.001784652;0.001784652;0;0;0.036882808;0.000594884;0.024985128;0;0;0;0;0;0;0;0.036882808;0;0;0;0;0;0.007733492;0;0;0;0.001784652;0;0;0;0.001189768;0;0;0.001189768;0;0;0;0;0.000594884;0.000594884;0
G15.F127;-5.361119869;1;0.175809217;0.244866649;1.392797558;0.069057431;0.392797558;42.05;46.63;0.216;0.197;31.55;57;36.47;38.14;36.47;72.78;27.15;31.73;2.822147651;3.129530201;4.58;-0.019;25.45;1.67;36.31;1.108917955;0.912037037;1.806656101;1.045791061;1.995612832;-8.96;-6.63;2.33;0.739955357;-1;-1;8.96;6.63;2.921;9.900202125;0.085790885;0.042001787;0.018766756;0.023681859;0.113941019;0.009830206;0.00536193;0.024575514;0.000446828;0.060321716;0.018766756;0.016979446;0.059428061;0.010277033;0.00178731;0.019660411;0;0.023235031;0.002234138;0.006255585;0.000893655;0.001340483;0.001340483;0.009830206;0.004915103;0.004915103;0;0.029490617;0.026362824;0.00536193;0.015192136;0;0;0.00357462;0.006255585;0.002680965;0;0.00536193;0.004021448;0;0.003127793;0;0.004915103;0;0;0;0.002234138;0.007596068;0;0;0.003127793;0.000893655;0;0;0.00893655;0;0.000893655;0;0;0;0;0;0
G15.Gly-SH;-4.975283173;1;0.261762326;0.402931794;1.539303993;0.141169468;0.539303993;77.02;55.39;0.211;0.236;26.46;45.34;38.3;35.75;38.3;74.16;62.12;40.49;5.169127517;3.717449664;-21.63;0.025;18.88;-2.55;35.86;0.719163854;1.118483412;1.713529856;0.933420366;1.936292428;-17.77;-5.68;12.09;0.319639842;-1;-1;17.77;5.68;4.049;10.13716499;0.059633028;0.03058104;0.117737003;0.006116208;0.002293578;0.003058104;0.02293578;0.116207951;0.002293578;0.279051988;0.012996942;0.005351682;0.014525994;0;0;0.012232416;0.024464832;0.00382263;0.001529052;0;0.006116208;0.009938838;0.002293578;0.001529052;0;0.000764526;0;0;0;0;0;0;0;0;0.000764526;0;0.001529052;0;0;0.04587156;0;0;0;0.005351682;0.008409786;0;0;0;0.008409786;0;0;0;0.001529052;0;0;0;0;0.003058104;0;0;0;0;0
G15.HDA;-0.270329774;0;0.24383915;0.275642322;1.130426849;0.031803172;0.130426849;28.04;54.89;0.194;0.235;22.69;75.71;29.18;38.46;29.18;81.68;13.14;39.99;1.881879195;3.683892617;26.85;0.041;53.02;9.28;52.5;1.957560628;1.211340206;3.336712208;1.318026045;2.799177519;11.21;-7.73;-18.94;-0.68956289;1;-1;11.21;7.73;1.645;10.07581458;0.054498715;0.013881748;0.029305913;0.098200514;0.004113111;0.099742931;0.150642674;0.028277635;0.002570694;0.029305913;0;0.005141388;0;0.003598972;0.01285347;0;0;0.002056555;0.009768638;0.001028278;0;0.002570694;0;0.008226221;0.004627249;0;0.001542416;0;0;0;0;0;0.003598972;0;0;0.003598972;0.000514139;0.007197943;0;0;0.000514139;0.001028278;0;0.000514139;0;0;0.004113111;0.059125964;0;0;0;0.001028278;0;0.005141388;0;0;0.024678663;0;0;0;0;0;0.001542416
G15.LA;-5.963982042;1;0.236781552;0.301309576;1.272521335;0.064528024;0.272521335;22.45;48.09;0.23;0.201;21.44;96.56;39.75;40.22;39.75;84.19;7.55;33.19;1.506711409;3.227516779;25.64;-0.029;75.12;0.47;44.44;2.142093541;0.873913043;4.503731343;1.011823899;2.117987421;-26.48;-8.95;17.53;0.337990937;-1;-1;26.48;8.95;6.442;11.1411953;0.073003802;0.013688213;0.101901141;0.005323194;0.008365019;0.006844106;0.003802281;0.121673004;0.002281369;0.306463878;0.091254753;0.003802281;0.019771863;0;0;0.006844106;0;0;0;0.029657795;0.003802281;0.014448669;0.002281369;0;0;0.002281369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001520913;0;0;0;0.003802281
G15.MAA;-6.142034924;1;0.281333759;0.44858694;1.594500926;0.16725318;0.594500926;30.74;60.99;0.273;0.238;31.15;33.7;47.92;31.03;47.92;64.65;15.84;46.09;2.063087248;4.093288591;30.25;-0.035;2.55;-16.89;16.73;1.984059857;0.871794872;1.081861958;0.647537563;1.349123539;-24.17;-10.71;13.46;0.443111295;-1;-1;24.17;10.71;5.616;10.88662076;0.075641915;0.026370576;0.052047189;0.002081888;0.022206801;0.006245663;0.003469813;0.081193616;0.002081888;0.144344205;0.044413602;0.012491325;0.13462873;0;0;0.012491325;0.004163775;0.004163775;0;0;0.0055517;0.004857738;0.002081888;0;0;0;0;0;0.051353227;0;0.016655101;0;0;0;0.000693963;0;0.00277585;0;0;0.039555864;0;0;0;0.020124913;0;0;0;0;0;0;0.00277585;0;0;0;0;0;0;0.006939625;0;0;0;0;0.00277585
G15.MBA;-5.381423032;1;0.293044067;0.504304623;1.720917363;0.211260556;0.720917363;29.87;67.7;0.321;0.273;32.13;25.71;55.65;20.54;55.65;84.29;14.97;52.8;2.004697987;4.543624161;37.83;-0.048;-6.42;-35.11;28.64;2.266488115;0.85046729;0.800186741;0.369092543;1.514645103;-26.65;-8.74;17.91;0.327954972;-1;-1;26.65;8.74;4.36;10.61929658;0.024640657;0.030800821;0.080082136;0.002737851;0.004106776;0.008898015;0.010951403;0.147843943;0.005475702;0.123887748;0.014373717;0.001368925;0.052019165;0;0;0.004791239;0.016427105;0;0;0;0.002737851;0.006844627;0.001368925;0;0;0;0;0;0.006160164;0;0;0.002053388;0;0;0;0;0.004106776;0;0.002053388;0.090349076;0;0;0;0.032169747;0.003422313;0;0;0;0;0.003422313;0;0;0.004791239;0;0;0;0;0.006844627;0;0;0;0;0
G15.MES;-3.199321632;1;0.226323868;0.47629073;2.104465313;0.249966862;1.104465313;49.22;61.86;0.297;0.286;29.15;28.51;72.5;21.05;72.5;83.75;34.32;46.96;3.303355705;4.151677852;12.64;-0.011;-0.64;-51.45;11.25;1.256806176;0.962962963;0.978044597;0.290344828;1.155172414;-25.55;-10.21;15.34;0.399608611;-1;-1;25.55;10.21;4.038;10.66548222;0.050364964;0.035036496;0.018978102;0.002919708;0.024817518;0.028467153;0.017518248;0.05620438;0.001459854;0.170072993;0.000729927;0.009489051;0.141605839;0;0;0.009489051;0.006569343;0;0.000729927;0;0.005109489;0.002189781;0.003649635;0;0;0;0;0.004379562;0.054744526;0.017518248;0.027737226;0;0;0;0;0;0;0;0.033576642;0.032846715;0;0;0;0.019708029;0.004379562;0;0;0;0;0;0;0;0;0;0;0;0;0.001459854;0;0;0;0;0
G15.Met-SH;-5.928402063;1;0.215655836;0.282010021;1.307685548;0.066354184;0.307685548;23.19;52.42;0.167;0.215;21.04;50.9;28.2;26.57;28.2;72.7;8.29;37.52;1.556375839;3.518120805;29.23;0.048;29.86;-1.63;44.5;2.260457094;1.28742515;2.419201521;0.942198582;2.578014184;-22.2;-7.2;15;0.324324324;-1;-1;22.2;7.2;5.754;10.81788099;0.067915691;0.015612802;0.110070258;0.007806401;0.00234192;0.007806401;0.012490242;0.119437939;0.00312256;0.334894614;0.042935207;0.010148322;0.021857923;0;0;0.010148322;0.004683841;0.00312256;0.00234192;0.004683841;0.003903201;0.014832162;0.003903201;0;0;0.007025761;0;0;0.00234192;0;0;0;0;0;0;0;0.00156128;0;0.00078064;0;0;0;0;0;0.010928962;0;0;0;0.008587041;0;0;0;0;0;0;0.008587041;0;0;0;0;0.00312256;0;0
G15.MHA;-5.73542754;1;0.278335267;0.389208344;1.398343618;0.110873077;0.398343618;25.15;58.99;0.239;0.244;41.57;26.77;47.42;21.83;47.42;71.19;10.25;44.09;1.687919463;3.959060403;33.84;0.005;-14.8;-25.59;23.77;2.345526839;1.020920502;0.64397402;0.460354281;1.501265289;-24.38;-8.92;15.46;0.365873667;-1;-1;24.38;8.92;5.002;11.42456216;0.030010173;0.041200407;0.060020346;0.003051882;0.002543235;0.008646999;0.004577823;0.138351984;0.002543235;0.062054934;0.04069176;0;0.012716175;0;0;0.000508647;0.066632757;0;0;0;0.005595117;0;0;0;0;0;0.000508647;0;0;0;0;0;0;0;0;0;0.002543235;0;0;0.094099695;0;0;0;0.038148525;0.006103764;0;0;0;0;0.006612411;0;0;0;0;0;0;0;0.003560529;0;0;0;0;0
G15.MHDA;-5.778333231;1;0.242059338;0.294179224;1.215318635;0.052119886;0.215318635;23.12;43.62;0.076;0.155;23.11;36.92;23.95;32.34;23.95;47.82;8.22;28.72;1.551677852;2.927516779;20.5;0.079;13.81;8.39;23.87;1.886678201;2.039473684;1.597576807;1.350313152;1.996659708;-25.65;-8.65;17;0.337231969;-1;-1;25.65;8.65;4.523;11.07476382;0.026966292;0.052434457;0.046441948;0.002996255;0;0.003745318;0.002247191;0.100374532;0.0082397;0.123595506;0.05093633;0;0.016479401;0;0;0.002996255;0.026217228;0;0;0;0.004494382;0.005992509;0.000749064;0;0;0;0.001498127;0.000749064;0;0.005992509;0;0;0;0;0;0;0;0;0;0.080149813;0;0;0;0.029213483;0.001498127;0;0;0;0.010486891;0.006741573;0;0;0.001498127;0;0;0;0;0;0;0;0;0;0
G15.MPA;-5.395928676;1;0.30364357;0.451141715;1.485760805;0.147498145;0.485760805;25.73;55.65;0.284;0.289;20.3;17.18;39.49;14.1;39.49;70.02;10.83;40.75;1.726845638;3.734899329;29.92;0.005;-3.12;-25.39;30.53;2.162844928;1.017605634;0.846305419;0.357052418;1.773107116;-27.52;-10.96;16.56;0.398255814;-1;-1;27.52;10.96;5.025;10.86174875;0.033498759;0.036600496;0.109801489;0.004962779;0.005583127;0.015508685;0.009925558;0.155707196;0.003101737;0.064516129;0.016129032;0;0.032878412;0;0;0.001240695;0.034739454;0;0;0;0.006203474;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00248139;0;0;0.075062035;0;0;0;0.039081886;0.000620347;0;0;0;0;0.006823821;0;0;0.001240695;0;0;0;0;0.008064516;0;0;0;0;0
G15.MSA;-6.104821487;1;0.255577211;0.424225322;1.659871477;0.168648112;0.659871477;34.33;52;0.203;0.288;19.29;22.58;49.98;19.23;49.98;67.07;19.43;37.1;2.304026846;3.489932886;17.67;0.085;3.29;-30.75;17.09;1.514710166;1.418719212;1.170554692;0.384753902;1.341936775;-24.92;-14.24;10.68;0.571428571;-1;-1;24.92;14.24;4.017;11.03285426;0.03617945;0.037626628;0.073806078;0.002894356;0.005065123;0.012301013;0.017366136;0.162083936;0.005788712;0.087554269;0.002894356;0.001447178;0.02170767;0;0;0.002894356;0.018089725;0;0;0;0;0;0.001447178;0;0;0;0.000723589;0;0.002170767;0;0;0.004341534;0;0;0;0;0.002894356;0;0;0.093342981;0;0;0;0.035455861;0.000723589;0;0;0;0;0.005065123;0;0;0.005065123;0;0;0;0;0.010130246;0;0;0;0;0
G15.MUA;-4.846843212;1;0.235656506;0.301574914;1.279722416;0.065918407;0.279722416;22.63;45.52;0.092;0.166;21.04;44.96;22.4;39.05;22.4;51.1;7.73;30.62;1.518791946;3.055033557;22.89;0.074;23.92;16.65;28.7;2.011489174;1.804347826;2.136882129;1.743303571;2.28125;-21.13;-8.35;12.78;0.39517274;-1;-1;21.13;8.35;4.913;11.05793282;0.030448718;0.040064103;0.06650641;0.002403846;0;0.00400641;0.002403846;0.100961538;0.005608974;0.157852564;0.061698718;0.001602564;0.026442308;0;0;0.005608974;0.016025641;0;0;0;0.00400641;0.010416667;0;0;0;0.002403846;0.001602564;0.006410256;0;0;0;0;0;0;0;0;0.00400641;0;0.004807692;0.079326923;0;0;0;0.024038462;0.00400641;0;0;0;0.00400641;0.003205128;0;0;0.005608974;0;0;0;0;0;0.003205128;0;0;0;0
G15.MUTA;0.112753503;0;0.24950092;0.419192998;1.680126059;0.169692078;0.680126059;27.18;127.34;0.156;0.173;22.97;145.01;30.92;97.42;30.92;139.75;12.28;112.44;1.824161074;8.546308725;100.16;0.017;122.04;66.5;108.83;4.685062546;1.108974359;6.313016979;3.150711514;4.519728331;18.17;-8.07;-26.24;-0.44413869;1;-1;18.17;8.07;1.7;10.95725564;0.039417309;0.145672665;0.00428449;0.010282776;0.011996572;0.036846615;0.021422451;0.033419023;0.007712082;0.057412168;0;0.050556984;0;0.000856898;0;0.010282776;0;0;0.088260497;0.007712082;0;0.003427592;0;0;0;0;0;0;0;0;0;0.023136247;0;0.003427592;0;0;0.00856898;0;0;0;0;0.075407027;0;0;0;0;0;0;0;0;0;0;0;0.007712082;0;0;0;0;0.001713796;0.050556984;0;0;0
G15.NT@DCA;-8.587272661;1;0.76967269;0.354844606;0.461033125;-0.414828084;-0.538966875;183.16;43.77;0.314;0.34;299.33;31.39;281.85;27.01;281.85;74.93;168.26;28.87;12.29261745;2.937583893;-139.39;0.026;-267.94;-254.84;-206.92;0.238971391;1.082802548;0.104867538;0.095831116;0.26585063;-4.78;-7.95;-3.17;1.663179916;-1;-1;4.78;7.95;0.596;8.006792258;0.086956522;0.017902813;0.05029838;0.10400682;0.005967604;0.017050298;0.26001705;0.008525149;0.000852515;0.014492754;0.00170503;0.002557545;0.00170503;0.018755328;0.010230179;0;0;0.00341006;0.011082694;0;0;0;0;0.033248082;0.005967604;0;0;0;0;0;0;0;0;0;0;0.009377664;0;0;0;0;0;0;0;0;0;0;0;0.00341006;0;0;0;0;0;0.00170503;0;0;0.00511509;0;0;0;0;0;0
G15.NT@PSMA-AAP;-6.223778074;1;0.29863054;0.313519973;1.049859044;0.014889433;0.049859044;23.9;41.64;0.113;0.129;23.23;41.61;25.21;39.84;25.21;43.85;9;26.74;1.604026846;2.794630872;17.74;0.016;18.38;14.63;18.64;1.742259414;1.14159292;1.791218252;1.580325268;1.739389131;-20.23;-7.81;12.42;0.386060306;-1;-1;20.23;7.81;4.791;9.947124926;0.076566125;0.006960557;0.131477185;0.010827533;0.006960557;0.006960557;0.023975251;0.113689095;0.00154679;0.306264501;0.047177108;0.006960557;0.00154679;0.000773395;0;0.007733952;0.003866976;0.003093581;0.002320186;0.004640371;0;0.013921114;0.003093581;0.010827533;0;0.003866976;0;0;0;0.004640371;0;0;0;0;0.002320186;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000773395;0;0;0;0
G15.NT@PSMA-EA;-6.16773377;1;0.303223492;0.315817781;1.041534675;0.012594289;0.041534675;24.19;41.88;0.128;0.118;22.04;39.15;25.94;35.75;25.94;45.8;9.29;26.98;1.623489933;2.810738255;17.69;-0.01;17.11;9.81;19.86;1.731293923;0.921875;1.776315789;1.378180416;1.765612953;-21.32;-5.26;16.06;0.246716698;-1;-1;21.32;5.26;6.209;10.37519174;0.069390902;0.00925212;0.118735544;0.00925212;0.00539707;0.00616808;0.033924441;0.112567463;0.00385505;0.32536623;0.047802621;0.00693909;0.00539707;0;0;0.01002313;0.00385505;0.00308404;0;0.00462606;0.00231303;0.01079414;0.00231303;0.00848111;0;0.00616808;0;0;0;0;0;0;0;0;0.00308404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00308404;0;0.00077101;0;0
G15.NT@PSMA-EDA;-5.40323656;1;0.497778911;0.363405935;0.730054904;-0.134372976;-0.269945096;252.88;61.79;0.301;0.184;379.63;181.76;321.41;32.61;321.41;87.24;237.98;46.89;16.97181208;4.146979866;-191.09;-0.117;-197.87;-288.8;-234.17;0.244345144;0.611295681;0.478781972;0.101459195;0.271429016;-18.3;-7.57;10.73;0.413661202;-1;-1;18.3;7.57;3.302;9.874107646;0.060781476;0.006512301;0.128075253;0.020260492;0.005788712;0.005788712;0.083936324;0.113603473;0.001447178;0.247467438;0.002894356;0.002894356;0;0.001447178;0.001447178;0.009406657;0.001447178;0;0.004341534;0.000723589;0;0.010853835;0.001447178;0.005788712;0.001447178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003617945;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
G15.NT@PSMA-Urea;-6.360527022;1;0.304125227;0.310763532;1.021827541;0.006638306;0.021827541;24.07;41.94;0.118;0.132;23.54;41.74;25.95;39.66;25.95;44.52;9.17;27.04;1.615436242;2.814765101;17.87;0.014;18.2;13.71;18.57;1.742417948;1.118644068;1.773152082;1.528323699;1.715606936;-13.98;-8.6;5.38;0.615164521;-1;-1;13.98;8.6;4.499;9.908877774;0.065420561;0.007593458;0.157126168;0.005841121;0.005841121;0.005257009;0.00817757;0.163551402;0.002336449;0.244158879;0.058995327;0.002920561;0.004672897;0.000584112;0;0.007593458;0.004088785;0.002920561;0.000584112;0.003504673;0.001752336;0.014018692;0.000584112;0.015771028;0;0.002336449;0;0;0;0.001168224;0;0;0;0.000584112;0;0;0;0;0;0;0;0;0;0;0.000584112;0;0;0.001752336;0;0;0;0;0;0;0;0;0;0;0.002336449;0;0;0;0
G15.ODA;-2.765228927;0;0.314176595;0.333633173;1.061928796;0.019456578;0.061928796;23.12;41.78;0.419;0.421;6.45;13.09;31.1;10.63;31.1;69.43;8.22;26.88;1.551677852;2.804026846;18.66;0.002;6.64;-20.47;38.33;1.807093426;1.00477327;2.029457364;0.341800643;2.232475884;18.85;-11.75;-30.6;-0.623342175;1;-1;18.85;11.75;1.592;10.47433882;0.043713384;0.008111762;0.047318612;0.098693105;0.01306895;0.022983326;0.078864353;0.042812078;0;0.045515998;0;0;0.016223524;0.020730059;0.004055881;0.006759802;0;0;0;0.000450653;0;0;0.000450653;0.020279405;0.004957188;0;0;0;0;0.008562416;0;0;0;0;0;0.01442091;0;0;0;0;0.002703921;0;0;0;0;0;0;0.020279405;0;0;0;0;0;0;0;0;0.016674178;0;0;0;0;0;0
G15.PAH-SH;-0.980056174;0;0.290991561;0.39566205;1.359702836;0.10467049;0.359702836;24.78;68.07;0.41;0.31;1.02;347.84;69.08;31.91;69.08;121.9;9.88;53.17;1.663087248;4.568456376;43.29;-0.1;346.82;-37.17;52.82;2.746973366;0.756097561;341.0196078;0.461928199;1.76462073;12.19;-6.48;-18.67;-0.531583265;1;-1;12.19;6.48;3.58;10.07581458;0.053648915;0.033925049;0.01183432;0.011439842;0.01025641;0.030374753;0.001972387;0.125443787;0.004733728;0.063905325;0.017751479;0.00591716;0.028402367;0.007495069;0.002761341;0.001183432;0.001183432;0.011045365;0.032741617;0.011045365;0;0.001972387;0.000394477;0;0.001577909;0;0.001972387;0;0;0;0;0.003944773;0;0.001183432;0;0.003550296;0.002761341;0.003155819;0;0.063510848;0.00591716;0.006311637;0.001183432;0.027613412;0;0.00591716;0.001183432;0;0;0.002761341;0.001183432;0.002366864;0.001972387;0;0.007495069;0;0;0.003944773;0;0.003944773;0;0.000394477;0
G15.PEI-SH;-1.292157197;0;0.253904726;0.252871777;0.995931747;-0.001032949;-0.004068253;28.94;52.46;0.171;0.176;25.25;78.53;31.49;37.65;31.49;68.15;14.04;37.56;1.942281879;3.520805369;23.52;0.005;53.28;6.16;36.66;1.812715964;1.029239766;3.11009901;1.195617656;2.164179104;15.27;-7.04;-22.31;-0.461034709;1;-1;15.27;7.04;5.331;9.966980929;0.017656501;0.05682183;0;0.005457464;0.002568218;0.026324238;0.012520064;0.159229535;0.0070626;0.020224719;0.000642055;0.028892456;0.000963082;0.000321027;0.002247191;0.002568218;0.0035313;0;0.043980738;0.0105939;0;0;0.000321027;0;0;0;0.002568218;0;0;0;0;0.016051364;0;0.000963082;0;0;0.002568218;0;0;0.058105939;0;0.052327448;0;0.02953451;0;0;0;0;0;0.008346709;0;0.000963082;0.000963082;0.002889246;0;0;0;0.002889246;0;0.027929374;0;0;0.000963082
G15.Phe;-5.303578785;1;0.272687021;0.30344301;1.112788609;0.03075599;0.112788609;20.05;58.53;0.34;0.267;4.34;123.73;31.64;38.72;31.64;114.95;5.15;43.63;1.345637584;3.928187919;38.48;-0.073;119.39;7.08;83.31;2.919201995;0.785294118;28.50921659;1.223767383;3.633059418;-28.93;-7.91;21.02;0.273418597;-1;-1;28.93;7.91;5.06;11.28249074;0.111352526;0.039652363;0.017925041;0.010320478;0.071700163;0.006518197;0.003802281;0.033134166;0.000543183;0.072786529;0.031504617;0.007604563;0.108093427;0.004345464;0.001086366;0.019011407;0.002172732;0.02498642;0.005975014;0;0;0.004345464;0.001086366;0;0;0.009777295;0;0.027159153;0.033677349;0.001629549;0.020640956;0.001086366;0;0.002172732;0.001629549;0;0;0.004888647;0.003802281;0;0.002715915;0;0.011406844;0;0;0.015209125;0.002172732;0;0;0.000543183;0.001629549;0;0;0.000543183;0.004345464;0;0;0;0;0;0;0;0
G15.Phe-SH;-6.26867771;1;0.259331735;0.295586882;1.139802198;0.036255147;0.139802198;22.74;41.93;0.172;0.14;32.56;114.85;40.11;37.84;40.11;64.81;7.84;27.03;1.526174497;2.81409396;19.19;-0.032;82.29;-2.27;24.7;1.843887423;0.813953488;3.527334152;0.943405635;1.615806532;-16.94;-10.42;6.52;0.615112161;-1;-1;16.94;10.42;5.593;10.31798352;0.073492981;0.009083402;0.128819158;0.009909166;0.006606111;0.005780347;0.009083402;0.1164327;0.002477291;0.332782824;0.047894302;0.007431874;0.018166804;0;0;0.009083402;0.000825764;0.003303055;0;0.001651528;0.004954583;0.011560694;0.004128819;0.009083402;0.000825764;0.004128819;0;0;0;0;0;0;0;0;0.003303055;0;0;0;0;0;0;0;0;0;0;0;0;0;0.002477291;0;0;0;0;0;0;0;0;0;0;0;0.001651528;0;0
G15.PLL-SH;-0.965756107;0;0.283710662;0.274685387;0.968188452;-0.009025275;-0.031811548;56.54;72.3;0.228;0.201;38.81;52.9;61.14;46.12;61.14;83.14;41.64;57.4;3.794630872;4.852348993;15.76;-0.027;14.09;-15.02;22;1.278740715;0.881578947;1.36305076;0.754334315;1.359829899;19.01;-5.64;-24.65;-0.296685955;1;-1;19.01;5.64;5.361;9.772510801;0.019167835;0.045348294;0.001402525;0.008882655;0.004207574;0.023375409;0.000935016;0.122487144;0.005610098;0.014025245;0.001402525;0.026647966;0;0;0.001402525;0.002805049;0.000935016;0;0.083216456;0.009817672;0;0;0;0;0.000467508;0;0.003740065;0;0;0;0;0.021037868;0;0.000935016;0;0;0.005610098;0;0;0.040673212;0.000467508;0.063113604;0;0.019167835;0;0;0;0;0;0.003740065;0;0.001402525;0.000467508;0.003272557;0.000935016;0;0;0.000935016;0;0.036465638;0;0;0
